Analyzed file: Calc.txt
word | frequency
       the |        538
       and |        496
        to |        368
        of |        333
       you |        301
         a |        286
         i |        284
        my |        263
        in |        233
        it |        217
       ham |        197
      that |        196
        is |        171
       his |        166
       not |        148
      this |        146
      with |        138
       but |        131
        be |        130
        me |        127
      your |        127
       for |        119
        as |        118
      lord |        117
        he |        116
       him |        112
      king |        103
      what |         96
      have |         95
        so |         85
      will |         78
        do |         76
     queen |         74
        no |         72
       are |         71
        we |         69
         o |         66
       hor |         63
        or |         58
        on |         57
       our |         57
      good |         56
        if |         56
      they |         51
      thou |         51
       all |         51
      come |         49
       her |         48
       how |         48
      more |         48
    hamlet |         47
        at |         47
        by |         47
      from |         47
     shall |         46
     would |         44
       now |         43
       let |         41
     there |         41
       thy |         40
     enter |         40
       was |         40
      most |         40
       sir |         40
      them |         39
        th |         38
      love |         37
       pol |         37
       tis |         36
      know |         36
      laer |         36
      well |         35
       may |         35
        go |         34
      very |         34
       oph |         34
      like |         34
       ill |         34
       did |         33
      give |         33
       why |         33
      must |         33
      some |         33
      hath |         32
      when |         31
        am |         30
        us |         30
      than |         29
     their |         29
     where |         29
        an |         28
       out |         28
     think |         27
      such |         27
     which |         27
     these |         27
    should |         27
      thee |         26
      much |         26
       too |         25
      make |         25
      then |         25
      thus |         25
     speak |         25
       ros |         25
       say |         25
      upon |         23
       man |         23
      play |         23
     ghost |         23
   laertes |         23
    heaven |         23
      time |         23
    father |         22
      pray |         21
      does |         20
       who |         20
      hear |         20
   horatio |         20
       one |         20
       had |         20
     death |         20
    exeunt |         20
       see |         20
       she |         20
     night |         19
      tell |         19
        up |         19
     clown |         19
      mine |         18
      exit |         18
      both |         18
       nor |         17
     never |         17
       own |         17
      here |         17
    within |         17
     could |         17
      guil |         17
   nothing |         17
   ophelia |         17
       can |         17
  polonius |         16
       day |         16
      down |         16
      made |         16
      into |         16
      look |         16
        ay |         16
       god |         16
      hold |         16
     whose |         15
      life |         15
      till |         15
       yet |         15
      take |         15
      soul |         15
     again |         15
    cannot |         15
   fathers |         15
    mother |         15
guildenstern |         15
      were |         14
       two |         14
     sweet |         14
rosencrantz |         14
      true |         14
     other |         14
      call |         14
      dead |         14
     aside |         13
      away |         13
       mar |         13
     about |         13
    though |         13
   himself |         13
     might |         13
     great |         13
    follow |         13
      been |         13
     comes |         13
     heart |         13
   friends |         13
     first |         13
      dear |         13
       ber |         13
     world |         13
   players |         12
      done |         12
       nay |         12
      keep |         12
      seen |         12
      even |         12
   madness |         12
       set |         12
  elsinore |         11
     means |         11
      doth |         11
       mad |         11
       use |         11
   believe |         11
      long |         11
     still |         11
     leave |         11
       off |         11
     noble |         11
       old |         11
       osr |         11
       put |         11
    indeed |         11
      eyes |         11
     after |         10
      hand |         10
   denmark |         10
      fear |         10
    myself |         10
      many |         10
      mark |         10
       ear |         10
       end |         10
   another |         10
        ho |         10
      else |         10
   without |         10
      find |         10
     since |         10
      fair |         10
    itself |         10
       art |         10
  daughter |         10
    nature |         10
     earth |         10
      once |         10
     blood |          9
      hast |          9
    spirit |          9
    speech |          9
      part |          9
      stay |          9
  farewell |          9
     while |          9
      live |          9
     marry |          9
   welcome |          9
  gertrude |          9
      poor |          9
     grief |          9
       ist |          9
       act |          9
       rey |          9
     those |          9
      show |          9
     drink |          9
    theres |          9
       son |          9
 gentleman |          9
   between |          9
    better |          8
    matter |          8
     thing |          8
     right |          8
  brothers |          8
      work |          8
      word |          8
     sleep |          8
      none |          8
      hell |          8
      help |          8
    before |          8
      bear |          8
      mean |          8
   neither |          8
   murther |          8
 marcellus |          8
    please |          8
       int |          8
 therefore |          8
      body |          8
    reason |          8
    little |          8
     scene |          8
      gone |          7
      room |          7
     state |          7
     being |          7
     stand |          7
  remember |          7
     haste |          7
     hands |          7
     whats |          7
   against |          7
       eye |          7
      news |          7
  thoughts |          7
     faith |          7
    honest |          7
     peace |          7
fortinbras |          7
       oer |          7
       oft |          7
      head |          7
   tonight |          7
    things |          7
      last |          7
   heavens |          7
      best |          7
     heard |          7
    coming |          7
   fortune |          7
       age |          7
    castle |          7
      name |          7
   england |          7
      kind |          7
    phrase |          7
     words |          7
    friend |          7
    virtue |          7
 gentlemen |          7
      said |          7
    norway |          6
  question |          6
     twere |          6
      says |          6
     sense |          6
  bernardo |          6
    tongue |          6
 ourselves |          6
     voice |          6
       een |          6
      near |          6
     swear |          6
     alone |          6
       fit |          6
       woe |          6
      form |          6
     power |          6
      sent |          6
     youth |          6
   strange |          6
     young |          6
   service |          6
     cause |          6
    awhile |          6
     light |          6
     heavy |          6
     sings |          6
      fran |          6
      fire |          6
 something |          6
    honour |          6
     uncle |          6
       air |          6
     takes |          6
  yourself |          6
     madam |          6
      rest |          6
       saw |          6
     begin |          6
       sun |          6
   villain |          6
         t |          5
    motive |          5
 cornelius |          5
     thats |          5
       top |          5
   honesty |          5
       lay |          5
     thine |          5
       lie |          5
   hamlets |          5
  gracious |          5
     aught |          5
     quick |          5
     shows |          5
   majesty |          5
particular |          5
     water |          5
   revenge |          5
   further |          5
      dost |          5
     known |          5
    breath |          5
    hither |          5
    toward |          5
      dies |          5
     bring |          5
      fool |          5
     piece |          5
      foul |          5
 wholesome |          5
       ont |          5
      wind |          5
      ever |          5
    almost |          5
  judgment |          5
     kings |          5
       hat |          5
       has |          5
     given |          5
      vows |          5
attendants |          5
     court |          5
      meet |          5
    answer |          5
  together |          5
      free |          5
   beseech |          5
   pyrrhus |          5
   already |          5
      dumb |          5
       any |          5
      dull |          5
   thought |          5
      move |          5
    enough |          5
     table |          5
      hide |          5
  courtier |          5
      only |          5
       ten |          4
      same |          4
     thank |          4
     laugh |          4
      lend |          4
       tot |          4
     loves |          4
  thousand |          4
      lets |          4
    pardon |          4
       cry |          4
   wherein |          4
      each |          4
     watch |          4
   fashion |          4
     doubt |          4
     house |          4
     three |          4
    season |          4
    fellow |          4
   husband |          4
      pate |          4
      mind |          4
  business |          4
      back |          4
   letters |          4
       dot |          4
      feed |          4
       men |          4
    wicked |          4
    drownd |          4
      fell |          4
      woot |          4
     slain |          4
     whole |          4
     grave |          4
     music |          4
   silence |          4
     damnd |          4
      told |          4
     shape |          4
       ere |          4
     shame |          4
       far |          4
       fat |          4
     wrong |          4
     looks |          4
    damned |          4
      sure |          4
   brother |          4
     needs |          4
     tears |          4
      fort |          4
  flourish |          4
        ii |          4
      gave |          4
    second |          4
 voltemand |          4
     lands |          4
    twelve |          4
      seem |          4
      cold |          4
     proof |          4
      wife |          4
       get |          4
      note |          4
   purpose |          4
    humbly |          4
    speaks |          4
      list |          4
    wisdom |          4
understand |          4
      arms |          4
     found |          4
     gives |          4
   honourd |          4
   offence |          4
     grown |          4
     sword |          4
    visage |          4
   mothers |          4
     march |          4
    bloody |          4
      home |          4
      fine |          4
     adieu |          4
      face |          4
     every |          4
     osric |          4
      fain |          4
       ins |          4
 excellent |          4
  soldiers |          4
     truth |          4
      alas |          4
    gentle |          4
     devil |          4
      duty |          4
      cast |          4
     guard |          4
      vile |          4
       bad |          4
      sigh |          4
    behind |          4
     stood |          4
  horrible |          4
   morning |          4
     makes |          4
   natural |          4
     fault |          4
   prepare |          3
      hall |          3
         1 |          3
      turn |          3
  straight |          3
     throw |          3
      hard |          3
    struck |          3
     order |          3
   conceit |          3
      went |          3
     woman |          3
     noise |          3
       law |          3
      less |          3
   censure |          3
     times |          3
      pity |          3
       cup |          3
     dread |          3
   fellows |          3
     stars |          3
   flowers |          3
    gainst |          3
      ease |          3
   thither |          3
      ears |          3
      pass |          3
ambassadors |          3
  possible |          3
  wretched |          3
     month |          3
    priest |          3
     knows |          3
   warlike |          3
     cries |          3
      twas |          3
      mans |          3
    impart |          3
     beard |          3
     beast |          3
    common |          3
      lose |          3
    secret |          3
  reynaldo |          3
   returnd |          3
    gather |          3
     rises |          3
     liest |          3
   wouldst |          3
      rich |          3
   special |          3
     below |          3
     trick |          3
     black |          3
     white |          3
      next |          3
  election |          3
       way |          3
   treason |          3
    ladies |          3
     heres |          3
     lookd |          3
       few |          3
    effect |          3
  wondrous |          3
    drinks |          3
       wit |          3
      rank |          3
  addition |          3
      grow |          3
     provd |          3
    charge |          3
     frame |          3
      kept |          3
        ha |          3
  withdraw |          3
  practice |          3
      four |          3
        iv |          3
      draw |          3
disposition |          3
     dream |          3
 perchance |          3
     brief |          3
    kisses |          3
      seek |          3
    closes |          3
   country |          3
excellence |          3
        wi |          3
     teach |          3
     terms |          3
    course |          3
      dare |          3
     brain |          3
      puts |          3
     sound |          3
    ground |          3
    prison |          3
    sister |          3
   masters |          3
     yours |          3
       pay |          3
  methinks |          3
    loving |          3
  violence |          3
      laid |          3
     suits |          3
   whether |          3
     tempt |          3
      evil |          3
     skull |          3
    guilty |          3
       hes |          3
    choice |          3
  jephthah |          3
   general |          3
      soft |          3
       hot |          3
     seald |          3
     blame |          3
      hope |          3
    action |          3
conscience |          3
  lordship |          3
    forget |          3
      mess |          3
      hour |          3
    thrift |          3
 unnatural |          3
     maids |          3
   finding |          3
      fall |          3
    forgot |          3
   chamber |          3
 attendant |          3
     round |          3
      fare |          3
      read |          3
    favour |          3
     grace |          3
      vice |          3
   through |          3
      bold |          3
      capt |          3
    defend |          3
      unto |          3
incestuous |          3
 discourse |          3
     truly |          3
     flesh |          3
      morn |          3
       joy |          3
       sea |          3
    inward |          3
       bed |          3
    beauty |          3
       sit |          3
       six |          3
     false |          3
     avoid |          3
       bid |          3
    thanks |          3
  tomorrow |          3
   brought |          3
     break |          3
    hecuba |          3
       bow |          3
     alack |          3
   cunning |          3
     horse |          3
     lords |          3
    burial |          3
   passing |          3
      gods |          3
    seeing |          3
      flat |          3
     place |          3
      sith |          3
      goes |          3
   herself |          3
     reads |          3
      half |          2
   warrant |          2
      left |          2
      hang |          2
     minds |          2
opposition |          2
commission |          2
     quiet |          2
      salt |          2
         v |          2
   violent |          2
  faithful |          2
    others |          2
      rome |          2
    making |          2
   fantasy |          2
  lucianus |          2
     cheer |          2
      sate |          2
    gaming |          2
      rose |          2
 celestial |          2
     quite |          2
  generous |          2
     sport |          2
  mountain |          2
      pith |          2
      pace |          2
    thirty |          2
    moment |          2
    polack |          2
  mistress |          2
    prayer |          2
     pluck |          2
      full |          2
    memory |          2
   tenders |          2
    golden |          2
      pale |          2
    assurd |          2
    merely |          2
      door |          2
    affair |          2
  trumpets |          2
     pause |          2
      tend |          2
    wildly |          2
   whereto |          2
     third |          2
   dearest |          2
     finds |          2
       dew |          2
     going |          2
    bodies |          2
   virtues |          2
     under |          2
       die |          2
     fears |          2
     habit |          2
     brows |          2
   hideous |          2
     feast |          2
    prince |          2
   ecstasy |          2
    custom |          2
    goodly |          2
    dearly |          2
    plucks |          2
       dog |          2
     pours |          2
    twenty |          2
   forward |          2
     bless |          2
    unseen |          2
       usd |          2
      maid |          2
   witness |          2
      bakd |          2
     mercy |          2
    sorrow |          2
    danger |          2
      brow |          2
     stick |          2
    sleeps |          2
   quality |          2
     expel |          2
      star |          2
     holds |          2
     seeks |          2
     speed |          2
     admit |          2
  prologue |          2
    chaste |          2
      base |          2
   fingers |          2
      lost |          2
      lovd |          2
     slave |          2
      loud |          2
 alexander |          2
   gonzago |          2
     seems |          2
    clouds |          2
  platform |          2
   command |          2
      year |          2
understanding |          2
     leaps |          2
    aboard |          2
     least |          2
      neer |          2
   assigns |          2
      need |          2
     often |          2
     loose |          2
     lines |          2
       vow |          2
    praisd |          2
    praise |          2
 pronouncd |          2
     brave |          2
     judge |          2
     forth |          2
 undertake |          2
    estate |          2
     shalt |          2
    dreams |          2
     forms |          2
     galls |          2
     couch |          2
    builds |          2
  shoulder |          2
      slow |          2
 continent |          2
affliction |          2
    spurns |          2
    poison |          2
    impond |          2
countenance |          2
 presently |          2
     didst |          2
 ignorance |          2
   trumpet |          2
       war |          2
       wax |          2
      rise |          2
   pardond |          2
   counsel |          2
    double |          2
    horrid |          2
      suit |          2
     liege |          2
    wanton |          2
     stuff |          2
       fed |          2
       fee |          2
   effects |          2
      gait |          2
 murtherer |          2
    solemn |          2
     weigh |          2
      uses |          2
     visit |          2
    unfold |          2
       fie |          2
    sables |          2
   bestowd |          2
        ah |          2
    former |          2
      hurt |          2
     prove |          2
    sudden |          2
   breathe |          2
      food |          2
     actor |          2
       fly |          2
    freely |          2
   thunder |          2
   observe |          2
    armour |          2
 methought |          2
  profound |          2
     limbs |          2
 mountains |          2
   content |          2
   perhaps |          2
      rate |          2
   trouble |          2
    justly |          2
     whips |          2
       odd |          2
   delight |          2
  prodigal |          2
      dirt |          2
   feeling |          2
      heat |          2
    pretty |          2
    cousin |          2
    whilst |          2
      cock |          2
    nation |          2
      seat |          2
 necessary |          2
    closet |          2
   scourge |          2
   smiling |          2
      thin |          2
    region |          2
      lies |          2
 courtiers |          2
    asleep |          2
     force |          2
    danish |          2
      nony |          2
 translate |          2
     foils |          2
     scale |          2
    hearts |          2
      wilt |          2
   dignity |          2
      wine |          2
    lights |          2
     tardy |          2
     union |          2
      lips |          2
      days |          2
     faces |          2
      lack |          2
 neglected |          2
circumstance |          2
  treasure |          2
     twill |          2
      wits |          2
   knavery |          2
      lady |          2
  desprate |          2
   proceed |          2
     birth |          2
   shadows |          2
  hitherto |          2
      writ |          2
     mirth |          2
   beneath |          2
      armd |          2
      army |          2
      snow |          2
     fruit |          2
    vulgar |          2
     chief |          2
      obey |          2
      walk |          2
      want |          2
    giving |          2
  accident |          2
   beating |          2
  disclosd |          2
    withal |          2
    secure |          2
      wast |          2
     waxes |          2
    weighd |          2
  anything |          2
       yea |          2
    colour |          2
     youll |          2
     happy |          2
philosophy |          2
     theme |          2
     upont |          2
   suffers |          2
    travel |          2
       hid |          2
     haply |          2
  consider |          2
     point |          2
 encounter |          2
  sometime |          2
    sinews |          2
    safely |          2
      jump |          2
   entreat |          2
    wisely |          2
    mirror |          2
      soil |          2
honourable |          2
     rouse |          2
   hearing |          2
     calls |          2
     purse |          2
      tale |          2
   modesty |          2
  offences |          2
      holy |          2
     pious |          2
     rites |          2
  fortunes |          2
      envy |          2
      bell |          2
    return |          2
     drown |          2
     smile |          2
     hears |          2
 dangerous |          2
   appeard |          2
      mere |          2
   thyself |          2
  ignorant |          2
  doomsday |          2
    except |          2
 christian |          2
     weary |          2
    cannon |          2
visitation |          2
      fits |          2
   rewards |          2
      fixd |          2
     kills |          2
      ruld |          2
    wonder |          2
     doors |          2
     steel |          2
    church |          2
       iii |          2
      runs |          2
     spade |          2
      fame |          2
     bosom |          2
    advice |          2
 according |          2
      guts |          2
     arras |          2
    tricks |          2
     trade |          2
    horses |          2
       rat |          2
advancement |          2
   shortly |          2
 wherefore |          2
     saint |          2
   prithee |          2
      post |          2
     weeds |          2
     gifts |          2
     shell |          2
      jest |          2
     moves |          2
  property |          2
  blessing |          2
     rests |          2
     royal |          2
    brains |          2
  pregnant |          2
     touch |          2
      mock |          2
   prayers |          2
     tunes |          2
      acts |          2
   spirits |          2
    letter |          2
corruption |          2
      came |          2
  patience |          2
   poisond |          2
       rub |          2
   officer |          2
     enact |          2
    either |          2
      view |          2
   piteous |          2
      dust |          2
      mole |          2
     worse |          2
    longer |          2
      shot |          2
     fancy |          2
 carriages |          2
     broad |          2
      moon |          2
      card |          2
      kill |          2
      bore |          2
     bones |          2
   captain |          2
   kingdom |          2
    spread |          2
  denmarks |          2
     awake |          2
     offer |          2
    strong |          2
       beg |          2
   beckons |          2
    larded |          2
    france |          2
    sblood |          2
     parts |          2
      deep |          2
    caesar |          2
      deed |          2
      over |          2
      sick |          2
     crown |          2
  thinking |          2
   blasted |          2
    powers |          2
    cursed |          2
     knees |          2
    stands |          2
     falls |          2
      lust |          2
discretion |          2
       boy |          2
     plays |          2
    chance |          2
   quarrel |          2
    buried |          2
     draws |          2
 extremity |          2
      deny |          2
  pleasure |          2
   incensd |          2
   enemies |          2
    clowns |          2
   passion |          2
     stole |          2
      sing |          2
    mortal |          2
    figure |          2
    norman |          2
    nights |          2
       byr |          2
  children |          2
  dreadful |          2
      wear |          2
     placd |          2
      sits |          2
      hits |          2
 behaviour |          2
    scarce |          2
   natures |          2
      weep |          2
  marriage |          2
    smooth |          2
    player |          2
    motion |          2
     spoke |          1
     fifty |          1
      idol |          1
somethingsettled |          1
    guards |          1
  devoutly |          1
    blasts |          1
     solid |          1
conjunctive |          1
 tyrannous |          1
 competent |          1
yourselves |          1
    stirrd |          1
    hearer |          1
    willow |          1
  rareness |          1
      sizd |          1
    eleven |          1
    tickle |          1
freefooted |          1
    object |          1
 vengeance |          1
      turf |          1
     cliff |          1
  infinite |          1
      turk |          1
   violets |          1
    gleand |          1
    policy |          1
         b |          1
    rabble |          1
   weeping |          1
 remembred |          1
      hams |          1
unimproved |          1
       ths |          1
   resolve |          1
  confront |          1
  grizzled |          1
   serious |          1
      tush |          1
      sans |          1
     mines |          1
 importund |          1
     soles |          1
  scholars |          1
      hark |          1
      hart |          1
   nowhere |          1
   thieves |          1
   patrick |          1
    swords |          1
 appeareth |          1
  witching |          1
  incensed |          1
  liegemen |          1
   fearing |          1
oppressors |          1
      hate |          1
majestical |          1
   distant |          1
  felicity |          1
    scannd |          1
fallingoff |          1
     spots |          1
   sledded |          1
   olympus |          1
      pins |          1
   frankly |          1
   orderly |          1
       toy |          1
succession |          1
    famous |          1
     drugs |          1
 firmament |          1
  scullion |          1
     roars |          1
   capital |          1
       cor |          1
    arrows |          1
    graces |          1
   bulwark |          1
 ambitious |          1
  function |          1
       lap |          1
      pipe |          1
      saws |          1
     raisd |          1
     hatch |          1
      lest |          1
pernicious |          1
     rheum |          1
    swornt |          1
   defeats |          1
obligation |          1
  ceremony |          1
  desirous |          1
       try |          1
     bloat |          1
  groundas |          1
   knavish |          1
   wounded |          1
affrighted |          1
unwholesome |          1
    spoken |          1
    spokes |          1
     thart |          1
     esill |          1
       led |          1
whensoever |          1
trippingly |          1
   dilated |          1
   exclaim |          1
  courtesy |          1
       cum |          1
entertainment |          1
  document |          1
   battery |          1
   suffred |          1
      clay |          1
    twould |          1
      tear |          1
     ankle |          1
  creation |          1
      clad |          1
     shove |          1
  demanded |          1
    surely |          1
   unwrung |          1
     shook |          1
  feathers |          1
     shoot |          1
     glass |          1
    tetter |          1
chameleons |          1
   frailty |          1
 opposites |          1
  rashness |          1
   whereof |          1
    assume |          1
   blister |          1
    inurnd |          1
     sable |          1
    bellow |          1
witchcraft |          1
  opposing |          1
churchyard |          1
     start |          1
     unusd |          1
wonderwounded |          1
  anothers |          1
    supper |          1
      pair |          1
     equal |          1
     wrung |          1
thereabout |          1
  imitated |          1
      palm |          1
      bier |          1
    batten |          1
  groaning |          1
    wretch |          1
   destroy |          1
   goodman |          1
 mightyyou |          1
   provide |          1
      afar |          1
   sorrows |          1
   whereon |          1
enterprise |          1
accidental |          1
    assure |          1
tropically |          1
   manners |          1
     meant |          1
    wealth |          1
    centre |          1
      dole |          1
     blown |          1
   niggard |          1
  persever |          1
   eternal |          1
 annexment |          1
     fetch |          1
   candied |          1
unworthiest |          1
   mazzard |          1
    speedy |          1
      doom |          1
possession |          1
 proclaimd |          1
    flames |          1
     gules |          1
     merry |          1
 daughters |          1
     shown |          1
      zone |          1
    exhort |          1
     keeps |          1
combination |          1
  drinking |          1
  unkennel |          1
     stays |          1
    formal |          1
  berattle |          1
      tent |          1
   radiant |          1
exceedingly |          1
 declining |          1
   hearers |          1
     built |          1
   revengd |          1
calveskins |          1
fellowship |          1
   priests |          1
   capitol |          1
confession |          1
     build |          1
    kingly |          1
threeandtwenty |          1
   demands |          1
     corse |          1
       lug |          1
    smiles |          1
     fiery |          1
 ambiguous |          1
    beasts |          1
      path |          1
     crack |          1
journeymen |          1
adulterate |          1
apparition |          1
 carefully |          1
      past |          1
      milk |          1
     strew |          1
      easy |          1
     buyer |          1
    jester |          1
tragicalcomicalhistoricalpastoral |          1
      eats |          1
gravemakers |          1
  relative |          1
shrillsounding |          1
    behove |          1
   compare |          1
   espials |          1
     grass |          1
      term |          1
  roughhew |          1
obsequious |          1
     stage |          1
      inch |          1
   oerstep |          1
 perdition |          1
      bird |          1
    lunacy |          1
    seated |          1
      bray |          1
 occasions |          1
 inoculate |          1
     acres |          1
    truant |          1
   colours |          1
  occasion |          1
      loan |          1
    rather |          1
   arraign |          1
     whore |          1
  delights |          1
     pales |          1
    sheets |          1
     pound |          1
      load |          1
      loam |          1
    unyoke |          1
      babe |          1
     grand |          1
 interpret |          1
   faction |          1
  blossoms |          1
     feard |          1
   showing |          1
      pays |          1
 dispatchd |          1
oerreaches |          1
     opend |          1
