Analyzed file: THE TRAGEDY OF HAMLET PRINCE OF DENMARK.txt
word | frequency
           |          3
   prepard |          1
   prepare |          3
      half |          5
    hamlet |        107
     spoke |          2
     fifty |          1
      idol |          1
      hall |          4
  nowadays |          1
    salary |          1
somethingsettled |          1
    guards |          1
 clambring |          1
     drunk |          1
     would |         81
      legs |          1
   warrant |          4
       ten |          4
  devoutly |          1
    blasts |          1
     solid |          1
conjunctive |          1
     meats |          1
 tyrannous |          1
 competent |          1
yourselves |          1
forestalled |          1
    stirrd |          1
    hearer |          1
         1 |          6
    willow |          1
 southerly |          1
  rareness |          1
      left |          3
      sizd |          1
    eleven |          1
    tickle |          1
freefooted |          1
    object |          1
      hang |          4
 vengeance |          2
      turf |          1
     cliff |          1
  infinite |          4
      turn |          7
      turk |          1
   violets |          2
     minds |          4
      gold |          1
opposition |          2
      same |         12
    gleand |          1
  stirring |          1
commission |          5
     quiet |          5
     after |         15
      hand |         18
    policy |          1
    reigns |          1
         a |        558
         b |          4
      salt |          3
   address |          1
         c |          1
   garland |          1
    rabble |          1
         i |        577
   accurst |          1
 cataplasm |          1
  beseechd |          1
   weeping |          1
     blood |         19
 remembred |          1
         o |        124
      hams |          1
       the |       1090
  straight |          4
unimproved |          1
      halt |          1
      sale |          1
         s |          1
         t |          7
     throw |          5
         v |          3
    norway |         13
     thank |          9
   brevity |          1
 encumbred |          1
       ths |          1
   violent |          4
       thy |         86
   resolve |          1
  confront |          1
      haps |          1
      good |        109
  faithful |          3
     empty |          1
commingled |          1
  grizzled |          1
   besides |          1
  quarterd |          1
   serious |          1
     laugh |          6
    others |          6
       tis |         73
      tush |          2
      rome |          2
    making |          3
   fantasy |          3
      sans |          1
  lucianus |          2
  apoplexd |          1
  polonius |         36
     intil |          1
      gone |         14
     mines |          1
    matchd |          1
     aside |         19
 importund |          1
     soles |          1
  scholars |          2
      hark |          1
  provided |          1
      hart |          1
   beshrew |          1
  shriving |          1
   society |          1
   denmark |         23
   nowhere |          1
    motive |          5
anticipation |          1
   thieves |          1
 patiently |          1
   patrick |          1
      hard |          5
      lend |          4
      roof |          1
    worser |          1
     cheek |          2
      rood |          1
    swords |          1
   requite |          2
      room |         13
     cheer |          3
    better |         15
     tween |          1
  hercules |          3
 appeareth |          1
      well |         90
     walkd |          1
gravediggers |          1
observance |          2
   breadth |          1
      pile |          1
  immortal |          1
      sate |          2
  witching |          1
 cornelius |          5
  incensed |          1
  liegemen |          1
   fearing |          1
     loved |          2
    fierce |          1
oppressors |          1
    struck |          6
   esteemd |          1
      hate |          1
      hath |         65
     order |          3
   carrion |          1
   conceit |          5
majestical |          2
      went |          5
     raind |          1
   distant |          1
     inter |          1
  felicity |          1
      hast |         16
      gore |          1
   propose |          2
    scannd |          1
    reform |          1
fallingoff |          1
  bringing |          1
     spots |          1
   sledded |          1
     coach |          1
    homage |          1
     thats |         16
  elsinore |         23
     woman |          7
   olympus |          1
      save |          5
      rots |          1
      pins |          1
       toe |          2
  carouses |          1
    matter |         27
   frankly |          2
       top |          7
       too |         50
   honesty |          5
   orderly |          1
      have |        183
       tot |          8
     noise |         10
    venomd |          1
       toy |          2
succession |          2
    gaming |          3
    famous |          1
  question |         16
     drugs |          1
     lover |          1
     loves |          7
    revels |          1
    spirit |         14
   picture |          2
     twere |         12
     walks |          2
 firmament |          1
    gibber |          1
    regard |          2
  scullion |          1
     witch |          1
      rose |          4
  thousand |         11
     roars |          1
    infect |          1
   capital |          2
       cor |          1
    arrows |          2
      lets |         13
 celestial |          2
      upon |         55
    graces |          2
      pray |         28
   bulwark |          1
 ambitious |          3
     holla |          1
 defective |          1
  function |          1
      west |          1
     quite |          4
      pipe |          3
       lap |          2
      sawt |          1
      saws |          1
     raisd |          1
circumstances |          1
       law |          7
condolement |          1
       lay |          9
conveniently |          1
     hatch |          1
      lest |          4
    pardon |          6
pernicious |          1
      less |          8
     rheum |          1
successive |          1
    swornt |          1
   defeats |          1
obligation |          2
      were |         27
  ceremony |          3
  desirous |          1
       try |          6
    tellus |          1
      hawk |          1
    fatted |          1
    became |          1
     obeys |          1
university |          1
   censure |          4
  exterior |          1
     bloat |          1
     times |          7
  groundas |          1
  generous |          3
     jelly |          1
   knavish |          2
      says |          8
   adjoind |          1
   wounded |          1
   twofold |          1
    whence |          1
affrighted |          1
       cry |          5
    doctor |          1
unwholesome |          1
  crescent |          1
   towring |          1
    spoken |          2
   grapple |          2
    spokes |          2
     thart |          1
     sport |          3
     esill |          1
    caught |          2
      prey |          1
   clamour |          1
      pity |          4
   mildewd |          1
       led |          1
whensoever |          1
trippingly |          1
    supply |          1
   wherein |          8
  mountain |          3
   refrain |          1
      pith |          3
       let |         96
     state |         15
   element |          1
   dilated |          1
     wishd |          1
     night |         36
      pace |          2
   exclaim |          1
   valancd |          1
  opposite |          1
  courtesy |          1
      each |         11
       cue |          1
     pickd |          1
 woundless |          1
       cum |          1
    thirty |          3
       cup |          4
       cut |          2
entertainment |          4
  unshaped |          1
  document |          1
     dread |          5
   battery |          1
       two |         26
   suffred |          1
    moment |          2
      clay |          3
    twould |          1
    mettle |          1
      tear |          3
    calmly |          1
      does |         26
appurtenance |          1
     ankle |          1
  creation |          1
inclination |          2
     think |         47
      clad |          1
   desires |          4
     moods |          1
     shove |          1
    polack |          4
  mistress |          3
    prayer |          2
     watch |         15
   unmanly |          1
    speech |         16
      quit |          2
     pluck |          3
     thing |         18
     thine |         14
   fashion |          8
  demanded |          1
    surely |          1
   tedious |          2
       lie |         10
   apparel |          1
   unwrung |          1
    source |          2
  uttrance |          1
     shook |          1
     smelt |          1
     dying |          1
   fellows |          4
     blows |          2
  feathers |          1
      bias |          1
      dogs |          1
     shoot |          1
     shoon |          1
     glass |          2
 judgments |          3
     doubt |         10
    tetter |          1
     merit |          2
chameleons |          1
     hunts |          1
   frailty |          1
  exposing |          1
   mockery |          1
 converted |          1
 opposites |          1
  rashness |          1
    steepd |          1
   whereof |          2
    assume |          4
 cerements |          1
      full |         11
    thumbs |          1
    mellow |          1
      away |         25
    memory |         10
   blister |          1
    inurnd |          1
stubbornness |          1
     house |          6
     sable |          2
    bellow |          1
   attends |          1
witchcraft |          2
      anon |          6
     hours |          2
  opposing |          1
      pain |          1
churchyard |          1
     start |          4
  churlish |          1
     unusd |          1
wonderwounded |          1
     stars |          4
  anothers |          1
   purples |          1
    supper |          2
      pair |          2
     equal |          2
     wrung |          1
    canker |          2
    marvel |          1
   tenders |          3
 dishonour |          2
      paid |          1
     short |          5
thereabout |          1
  imitated |          1
   fencing |          1
blastments |          1
      pall |          1
      palm |          2
    unholy |          1
   hamlets |         10
    extant |          1
    trains |          1
     three |          9
 ungartred |          1
    golden |          3
    season |          6
      bier |          1
     enter |         73
      pale |          8
    batten |          1
   flowers |          3
  groaning |          1
   players |         23
 entreated |          1
    wretch |          3
   destroy |          2
   goodman |          1
 mightyyou |          1
   provide |          1
  thirties |          1
      afar |          2
columbines |          1
   sorrows |          1
      fust |          1
   whereon |          5
enterprise |          2
   unknown |          2
accidental |          1
       lot |          1
   planets |          1
       low |          1
    angels |          3
    assurd |          2
    assure |          1
  gracious |          6
tropically |          1
    merely |          2
   manners |          2
     meant |          4
    wealth |          1
     means |         20
   betterd |          1
     rusty |          1
    centre |          1
    gainst |          4
      dole |          1
     blown |          2
   niggard |          1
    calves |          1
     cains |          1
  persever |          1
   eternal |          2
     aught |         10
 annexment |          1
    fellow |         10
     fetch |          2
   candied |          1
unworthiest |          1
  unmatchd |          1
      clip |          1
 commanded |          1
      door |          5
     quick |          8
   mazzard |          1
   compact |          1
  needfull |          1
    speedy |          1
      doom |          1
      tell |         43
possession |          1
   husband |          8
 purgation |          1
 proclaimd |          1
    flames |          2
     gules |          1
     merry |          2
  blasting |          1
 daughters |          1
     shows |          8
    denote |          1
     shown |          2
  infusion |          1
      zone |          1
celebrated |          1
    exhort |          1
    affair |          4
   majesty |         16
       day |         21
     keeps |          4
combination |          1
  trumpets |          3
     stayd |          3
  drinking |          1
    harrow |          1
   minutes |          1
     moons |          1
particular |          8
  unkennel |          1
      done |         22
     water |          6
     pause |          4
     stays |          1
    formal |          1
  berattle |          1
pigeonliverd |          1
  barefacd |          1
 proclaims |          2
      ease |          4
      tent |          1
